Wall time,Step,Value
1421864285.400311,0,131408632.0
1421864332.197251,1,91768032.0
1421864377.140306,2,61871164.0
1421864422.564074,3,52466188.0
1421864465.4569879,4,40891396.0
1421864508.433482,5,31070012.0
1421864551.647687,6,24623810.0
1421864595.437242,7,21285262.0
1421864639.265847,8,19360060.0
1421864682.8588622,9,17949888.0
1421864727.027092,10,16631560.0
1421864770.8252149,11,15345373.0
1421864815.018411,12,14020502.0
1421864858.924563,13,12898881.0
1421864903.181661,14,12007283.0
1421864947.5216472,15,11254570.0
1421864990.7232692,16,10602533.0
1421865033.9057121,17,10009520.0
1421865077.0260181,18,9499774.0
1421865120.066305,19,9022110.0
1421865169.19962,20,8563472.0
1421865214.0374131,21,8133024.0
1421865258.83861,22,7733677.5
1421865303.963145,23,7365543.0
1421865348.9528599,24,7031038.5
1421865393.810125,25,6723387.0
1421865438.747118,26,6437206.0
1421865483.689801,27,6180073.0
1421865528.723695,28,5946122.0
1421865573.863806,29,5741700.0
1421865619.1305459,30,5552994.0
1421865663.7680871,31,5378324.5
1421865709.009439,32,5218749.5
1421865753.804013,33,5075466.0
1421865797.247398,34,4944171.5
1421865840.6654239,35,4819851.0
1421865884.650344,36,4706540.0
1421865927.986461,37,4600251.5
1421865974.3389592,38,4502788.0
1421866021.9263282,39,4409781.0
1421866066.625636,40,4322960.5
1421866111.655991,41,4241338.5
1421866157.2557812,42,4165239.75
1421866202.292317,43,4092926.25
1421866247.747713,44,4024036.5
1421866292.3487492,45,3959026.5
1421866336.954995,46,3897746.75
1421866381.568906,47,3838900.5
1421866426.134924,48,3782167.75
1421866471.045599,49,3728729.75
1421866515.540617,50,3678020.0
1421866560.383544,51,3629176.25
1421866607.1957388,52,3583137.25
1421866652.1614342,53,3539021.5
1421866696.82364,54,3496671.75
1421866741.5652502,55,3456090.75
1421866786.034862,56,3417240.0
1421866831.045486,57,3379815.75
1421866876.304401,58,3344014.0
1421866922.232159,59,3309786.5
1421866969.246229,60,3276950.75
1421867013.934813,61,3245417.75
1421867058.7303512,62,3214963.0
1421867103.3577962,63,3185597.5
1421867148.041709,64,3157371.75
1421867192.632864,65,3130208.75
1421867237.3774989,66,3104010.0
1421867282.3648908,67,3078816.25
1421867326.901737,68,3054530.0
1421867371.641064,69,3031061.0
1421867416.067296,70,3008412.75
1421867460.761494,71,2986504.75
1421867505.104387,72,2965261.75
1421867550.2122838,73,2944711.75
1421867593.756258,74,2924811.5
1421867637.305331,75,2905502.5
1421867680.6504588,76,2886784.75
1421867723.863425,77,2868602.75
1421867767.311394,78,2850962.75
1421867810.671037,79,2833844.0
1421867854.0209951,80,2817192.25
1421867897.453923,81,2801049.5
1421867941.1332512,82,2785363.75
1421867984.496234,83,2770289.0
1421868028.044215,84,2756006.5
1421868071.348649,85,2743584.0
1421868114.765594,86,2735851.5
1421868157.858037,87,2742487.0
1421868201.11823,88,2795915.0
1421868244.5044339,89,2945308.75
1421868287.7407281,90,3297818.75
1421868331.0537841,91,3188085.0
1421868374.2944698,92,2823052.5
1421868417.768919,93,2703417.5
1421868461.1071901,94,2942395.0
1421868504.5923898,95,2758684.25
1421868548.021614,96,2695841.5
1421868591.402179,97,2831882.75
1421868634.724731,98,2646133.25
1421868678.020624,99,2717967.0
1421868721.406992,100,2688691.75
1421868765.441219,101,2612900.5
1421868809.24992,102,2684077.5
1421868852.6205812,103,2584985.5
1421868896.163043,104,2628409.0
1421868939.705091,105,2604063.0
1421868983.336617,106,2560248.25
1421869026.774654,107,2602354.75
1421869070.2064111,108,2536508.0
1421869113.743697,109,2552691.75
1421869156.971034,110,2545617.75
1421869200.465495,111,2503298.25
1421869243.8132281,112,2529641.75
1421869286.974884,113,2495988.75
1421869330.6166542,114,2484689.0
1421869374.0592341,115,2495289.0
1421869417.591584,116,2463927.25
1421869461.1524081,117,2462976.25
1421869505.724757,118,2463222.0
1421869549.376826,119,2440464.25
1421869592.969643,120,2437770.75
1421869636.911888,121,2435379.25
1421869680.264879,122,2419996.25
1421869723.841152,123,2412965.5
1421869767.42023,124,2409544.5
1421869810.8242939,125,2400629.25
1421869854.160724,126,2390251.0
1421869897.668504,127,2385770.5
1421869941.312382,128,2381327.5
1421869984.8758159,129,2369971.0
1421870028.5483751,130,2362809.25
1421870072.233797,131,2361308.5
1421870115.679063,132,2353995.0
1421870159.186753,133,2343725.5
1421870202.759234,134,2338605.5
1421870246.4200268,135,2335159.75
1421870289.9848819,136,2328642.5
1421870333.416553,137,2321468.0
1421870376.884015,138,2315570.5
1421870420.537608,139,2310346.0
1421870463.956815,140,2305933.25
1421870507.432547,141,2300910.0
1421870550.9329422,142,2294307.25
1421870594.527235,143,2288335.5
1421870638.000489,144,2284408.5
1421870681.836682,145,2281660.0
1421870725.274615,146,2281020.0
1421870768.871032,147,2291812.0
1421870812.194591,148,2343220.25
1421870856.147993,149,2542460.5
1421870899.7711601,150,2936015.5
1421870943.1699798,151,3655032.75
1421870986.589231,152,2616824.0
1421871030.258862,153,2403622.0
1421871073.732409,154,2866351.0
1421871117.08443,155,2362766.5
1421871160.52438,156,2650297.5
1421871203.975109,157,2598648.0
1421871247.285093,158,2460944.0
1421871290.508954,159,2602078.0
1421871334.022984,160,2381664.0
1421871377.537398,161,2506558.5
1421871424.392833,162,2343956.0
1421871469.307117,163,2482297.25
1421871514.27949,164,2334510.0
1421871559.323272,165,2444372.75
1421871604.154349,166,2315598.0
1421871648.976118,167,2381233.75
1421871693.953832,168,2291238.25
1421871739.1236212,169,2338079.25
1421871784.176995,170,2268056.5
1421871828.886752,171,2319362.0
1421871873.971039,172,2258574.75
1421871919.919083,173,2293157.25
1421871964.893573,174,2238192.5
1421872009.9807959,175,2267887.75
1421872062.2242181,176,2219226.25
1421872107.243233,177,2246893.0
1421872152.2197099,178,2210008.5
1421872197.392801,179,2227383.0
1421872242.159682,180,2200576.75
1421872287.245009,181,2211300.5
1421872331.833337,182,2193119.25
1421872377.025729,183,2194909.75
1421872421.899529,184,2185261.75
1421872466.726059,185,2181612.5
1421872511.5751412,186,2177772.25
1421872556.549392,187,2170431.0
1421872601.4267142,188,2172645.75
1421872646.4730098,189,2165934.25
1421872691.3065732,190,2171736.75
1421872735.079205,191,2169563.0
1421872778.601872,192,2176099.0
1421872822.087069,193,2178275.75
1421872865.759767,194,2173602.75
1421872909.523757,195,2162831.75
1421872953.1403258,196,2139063.0
1421872997.028076,197,2128266.0
1421873040.587886,198,2120067.0
1421873084.211307,199,2127436.5
1421873128.527591,200,2126751.75
1421873172.5108879,201,2125889.25
1421873216.205152,202,2119037.5
1421873259.9655108,203,2111902.0
1421873303.681165,204,2106782.75
1421873347.2732658,205,2100343.5
1421873391.135104,206,2096208.25
1421873434.870282,207,2093910.25
1421873478.6001039,208,2093300.75
1421873522.445303,209,2096674.375
1421873565.962228,210,2097406.25
1421873609.496788,211,2100562.25
1421873653.178925,212,2099695.25
1421873696.845037,213,2101156.75
1421873740.6759229,214,2101656.5
1421873784.1958559,215,2104403.25
1421873827.827304,216,2104137.5
1421873871.396121,217,2099267.25
1421873914.926744,218,2085128.75
1421873958.6138701,219,2068508.25
1421874002.208396,220,2060748.375
1421874047.040233,221,2066244.25
1421874093.25673,222,2077660.75
1421874138.354926,223,2082204.125
1421874183.245017,224,2079831.0
1421874228.4101388,225,2068653.5
1421874273.614709,226,2063650.5
1421874318.639464,227,2065147.875
1421874363.642666,228,2070114.125
1421874408.682453,229,2065793.0
1421874453.591747,230,2051637.875
1421874498.716641,231,2035825.5
1421874544.1060338,232,2031794.5
1421874589.415862,233,2038505.75
1421874634.746061,234,2043937.625
1421874679.40747,235,2041439.0
1421874723.4502678,236,2033129.625
1421874767.419062,237,2033373.0
1421874811.336357,238,2052592.5
1421874855.268047,239,2107444.0
1421874899.119827,240,2209016.5
1421874943.160037,241,2422761.0
1421874987.183251,242,2491058.25
1421875031.283932,243,2499983.0
1421875074.9426382,244,2203771.5
1421875118.960714,245,2318886.75
1421875162.72806,246,2453860.5
1421875206.5188742,247,2127170.25
1421875250.537371,248,2099361.25
1421875294.152811,249,2292826.0
1421875338.109848,250,2113039.75
1421875381.672571,251,2107381.5
1421875425.567281,252,2222786.0
1421875469.414159,253,2059697.5
1421875513.303421,254,2110750.0
1421875557.039668,255,2158252.0
1421875600.703857,256,2047529.75
1421875644.666063,257,2114147.25
1421875688.3572092,258,2082000.75
1421875732.3039732,259,2042271.5
1421875776.072402,260,2094545.75
1421875820.205771,261,2042238.75
1421875864.099518,262,2043704.5
1421875908.180637,263,2055149.625
1421875951.972927,264,2017458.875
1421875996.0970979,265,2034335.75
1421876040.022806,266,2027543.25
1421876084.0210052,267,2009504.375
1421876127.753335,268,2021290.625
1421876171.7110012,269,2009319.75
1421876215.660713,270,2001450.125
1421876259.450738,271,2006391.5
1421876303.295609,272,1995706.75
1421876347.4184299,273,1992312.75
1421876391.523286,274,1993038.0
1421876435.4399202,275,1984161.0
1421876479.544944,276,1983551.75
1421876523.605213,277,1982798.5
1421876567.567347,278,1974925.125
1421876611.420157,279,1977171.375
1421876655.222911,280,1976730.0
1421876699.5484328,281,1975487.75
1421876743.389132,282,1986163.75
1421876788.255571,283,2007953.0
1421876832.130111,284,2047708.875
1421876876.094068,285,2140177.0
1421876919.8981152,286,2194690.0
1421876963.8342001,287,2231333.25
1421877007.594753,288,2057667.25
1421877051.635722,289,1973448.875
1421877095.6210701,290,2058700.75
1421877139.627615,291,2055357.625
1421877183.905691,292,1972869.25
1421877227.962396,293,1987515.375
1421877271.557322,294,2014907.25
1421877315.643286,295,1971669.5
1421877359.554176,296,1972674.875
1421877403.345363,297,1986414.125
1421877447.638339,298,1959996.625
1421877491.8366091,299,1965649.25
1421877535.807124,300,1967606.75
1421877580.053353,301,1948501.375
1421877623.851573,302,1957212.375
1421877667.812927,303,1954636.5
1421877711.7848918,304,1940017.0
1421877756.0204859,305,1947245.625
1421877800.078826,306,1945850.625
1421877843.972363,307,1938652.625
1421877887.974881,308,1949840.875
1421877931.88332,309,1971374.25
1421877975.864164,310,2037138.75
1421878019.828116,311,2185475.5
1421878063.565749,312,2471114.75
1421878107.4997718,313,2429652.5
1421878151.3024828,314,2205403.5
1421878195.148938,315,1999710.375
1421878239.0250711,316,2187530.25
1421878282.802776,317,2149003.25
1421878326.6509619,318,1983615.625
1421878370.4861948,319,2092071.5
1421878414.484799,320,2073743.25
1421878458.4303539,321,1993736.5
1421878502.1848068,322,2040923.0
1421878546.046628,323,2029033.5
1421878589.9159071,324,2000098.375
1421878633.559542,325,2013925.0
1421878677.21154,326,2006742.625
1421878721.084474,327,1992537.0
1421878764.684646,328,1993006.125
1421878808.5626812,329,2013064.125
1421878852.450837,330,1981085.25
1421878896.509516,331,1995425.75
1421878940.473162,332,1983818.75
1421878984.3050501,333,1950545.25
1421879028.046494,334,1961658.5
1421879071.885692,335,1938486.625
1421879115.6094432,336,1930477.875
1421879159.615027,337,1942704.25
1421879203.333832,338,1923947.25
1421879247.4168441,339,1938802.5
1421879291.563303,340,1937393.375
1421879335.4379048,341,1933123.75
1421879379.331189,342,1946169.375
1421879423.086206,343,1931296.25
1421879466.799911,344,1935283.5
1421879510.629987,345,1926876.0
1421879554.604529,346,1914327.75
1421879598.574023,347,1909078.25
1421879642.609789,348,1898312.625
1421879686.3503292,349,1898132.5
1421879730.404005,350,1898520.75
1421879774.2230499,351,1895959.125
1421879818.3158772,352,1903819.75
1421879862.311841,353,1905418.875
1421879906.017837,354,1907705.25
1421879949.982456,355,1920067.25
1421879993.8857112,356,1924434.375
1421880037.486688,357,1936782.5
1421880081.366718,358,1939309.5
1421880125.387938,359,1934026.0
1421880169.163021,360,1912410.25
1421880213.134646,361,1895798.5
1421880257.0734131,362,1898147.25
1421880301.025457,363,1922824.125
1421880345.1705012,364,1945494.75
1421880389.256365,365,1929562.75
1421880433.4424021,366,1904477.0
1421880477.311351,367,1881861.875
1421880520.935767,368,1884671.25
1421880564.7138329,369,1901429.0
1421880608.6762938,370,1899301.875
1421880652.424864,371,1886846.125
1421880696.130968,372,1879796.75
1421880740.057467,373,1888656.875
1421880783.7425652,374,1906236.0
1421880827.4539142,375,1916086.75
1421880870.994955,376,1914545.375
1421880914.856073,377,1897914.875
1421880958.4324,378,1888286.125
1421881002.162784,379,1901733.25
1421881045.8679411,380,1923806.75
1421881089.3337789,381,1942950.875
1421881133.047841,382,1911808.25
1421881176.4927459,383,1871173.5
1421881220.113395,384,1864035.125
1421881263.9738948,385,1883849.25
1421881307.942971,386,1887305.25
1421881351.675539,387,1871201.0
1421881395.5538251,388,1866867.5
1421881439.3473501,389,1869266.125
1421881483.257046,390,1868198.625
1421881526.981656,391,1871272.5
1421881570.570658,392,1877212.375
1421881614.4046028,393,1880466.5
1421881658.288636,394,1889878.25
1421881701.918814,395,1913020.125
1421881746.16699,396,1970838.375
1421881789.808023,397,2019380.0
1421881833.7812438,398,2073820.375
1421881877.8661299,399,2003080.25
1421881921.677778,400,1934213.375
1421881966.176648,401,1932516.5
1421882009.8808289,402,2008492.375
1421882053.8146508,403,2066186.0
1421882097.508001,404,1987757.5
1421882141.170688,405,1945314.875
1421882185.1635551,406,1949122.0
1421882228.868758,407,1912263.125
1421882272.8433752,408,1914069.375
1421882316.99168,409,1964394.375
1421882361.1152132,410,1966214.375
1421882405.154749,411,2117309.5
1421882448.675741,412,2419249.5
1421882492.647895,413,2713912.25
1421882536.3864372,414,2239599.25
1421882580.464386,415,2170482.0
1421882624.520177,416,2138689.75
1421882668.416338,417,2098633.25
1421882712.2686,418,2249470.75
1421882756.102172,419,2027649.625
1421882800.0009658,420,2108892.0
1421882844.22444,421,2207098.25
1421882888.437821,422,2039409.5
1421882932.220118,423,2264564.0
1421882976.217576,424,2254716.75
1421883020.257379,425,2345244.75
1421883063.975376,426,2179680.5
1421883108.197342,427,2201301.75
1421883152.064629,428,2533079.0
1421883196.078271,429,2778725.25
1421883240.17258,430,2425235.25
1421883284.1323168,431,2151982.75
1421883328.291314,432,2165487.25
1421883372.224213,433,2269407.75
1421883416.0885801,434,2163401.0
1421883459.940272,435,2104346.0
1421883503.904866,436,2114937.75
1421883547.5247612,437,2198561.0
1421883591.257781,438,1993345.875
1421883635.096632,439,2047047.5
1421883679.0660229,440,2103147.5
1421883722.9225879,441,1989262.375
1421883766.706465,442,2049768.25
1421883810.62681,443,2006645.625
1421883854.631876,444,1969564.5
1421883898.348036,445,1969955.0
1421883942.171561,446,1975872.75
1421883985.870816,447,1958091.875
1421884030.561795,448,1963758.25
1421884074.407091,449,1982664.375
1421884118.5488331,450,1994850.125
1421884162.319071,451,2039453.125
1421884206.4701471,452,2128956.75
1421884250.172908,453,2195659.25
1421884294.221529,454,2384680.75
1421884338.02706,455,2312546.0
1421884381.710282,456,2208493.5
1421884425.636794,457,2198898.75
1421884469.9547782,458,2070243.875
1421884513.734405,459,2010100.5
1421884557.5091908,460,2060635.5
1421884601.282615,461,2001310.75
1421884645.4642692,462,2006801.25
1421884689.148195,463,1986312.75
1421884732.7435222,464,1931558.25
1421884776.5388339,465,1979010.125
1421884820.573468,466,1930015.125
1421884864.36126,467,1917275.5
1421884908.077111,468,1943869.25
1421884952.001219,469,1875894.625
1421884995.686707,470,1926127.75
1421885039.582741,471,1895886.625
1421885083.466402,472,1891950.75
1421885127.446684,473,1893750.75
1421885171.27873,474,1862534.0
1421885215.232058,475,1880398.75
1421885259.1748989,476,1864429.75
1421885303.1630342,477,1858554.75
1421885347.0580611,478,1866455.125
1421885390.83837,479,1854488.375
1421885434.5005498,480,1857490.0
1421885478.3708532,481,1852440.25
1421885521.969248,482,1852183.375
1421885565.7256079,483,1866598.875
1421885609.5048609,484,1871533.75
1421885653.0454311,485,1890808.0
1421885696.9505548,486,1903261.5
1421885740.864119,487,1923873.25
1421885784.705421,488,1902021.375
1421885828.438196,489,1866352.375
1421885872.167516,490,1826397.375
1421885915.706466,491,1838890.875
1421885959.564228,492,1863016.375
1421886003.531897,493,1852461.875
1421886047.180592,494,1825914.125
1421886090.975889,495,1817279.625
1421886134.516892,496,1834198.875
1421886177.9482,497,1835525.5
1421886221.8894331,498,1818908.75
1421886265.5721312,499,1811707.375
1421886309.281983,500,1817946.875
1421886353.5310988,501,1821553.75
1421886397.35792,502,1813238.125
1421886441.05509,503,1806350.875
1421886485.082842,504,1810096.625
1421886529.141644,505,1810610.25
1421886573.213119,506,1805892.25
1421886616.984267,507,1801762.25
1421886660.706378,508,1801188.0
1421886704.5780191,509,1805902.25
1421886748.307414,510,1809775.0
1421886791.9429052,511,1809257.375
1421886835.518913,512,1810800.5
1421886879.493193,513,1823739.25
1421886923.3163981,514,1840764.25
1421886967.096854,515,1864914.75
1421887010.62961,516,1866644.5
1421887054.351059,517,1853025.0
1421887097.917772,518,1815735.125
1421887141.3668962,519,1818026.25
1421887185.021788,520,1866215.125
1421887228.4290218,521,1920278.0
1421887271.842783,522,1950922.25
1421887315.921462,523,1931484.125
1421887359.765575,524,1890728.75
1421887403.274091,525,1902685.5
1421887446.90577,526,1890903.75
1421887490.467984,527,1848746.25
1421887534.2908669,528,1824579.0
1421887577.867326,529,1860846.75
1421887621.3544981,530,1856077.375
1421887666.2480488,531,1798487.125
1421887709.8603609,532,1816999.0
1421887753.461461,533,1845418.875
1421887797.0487092,534,1804541.125
1421887840.904691,535,1798551.5
1421887884.644023,536,1821231.5
1421887928.320079,537,1803735.75
1421887972.28569,538,1800576.875
1421888015.9195719,539,1817675.0
1421888059.589943,540,1820282.0
1421888103.2840269,541,1839125.0
1421888146.937388,542,1896094.0
1421888190.596249,543,1932376.625
1421888234.51396,544,1979506.5
1421888278.135782,545,1899062.75
1421888321.830543,546,1805225.25
1421888365.741907,547,1816763.75
1421888409.4197571,548,1856619.0
1421888453.120417,549,1823191.375
1421888496.580359,550,1801997.75
1421888540.411318,551,1822234.375
1421888584.000333,552,1815796.5
1421888627.7341619,553,1808785.5
1421888671.378263,554,1802400.125
1421888714.8238451,555,1795789.375
1421888758.468425,556,1803932.125
1421888801.963121,557,1794601.0
1421888845.498751,558,1791424.375
1421888889.370086,559,1800731.75
1421888932.840517,560,1789783.875
1421888976.17168,561,1795286.625
1421889019.947648,562,1806602.875
1421889063.273131,563,1809891.375
1421889106.8325272,564,1829042.5
1421889150.334763,565,1846057.625
1421889194.005179,566,1827268.5
1421889237.504148,567,1812841.5
1421889281.431586,568,1792961.75
1421889324.934195,569,1786593.75
1421889368.592917,570,1805831.0
1421889412.3199518,571,1813239.0
1421889456.0772421,572,1789018.375
1421889499.691293,573,1779867.5
1421889543.558162,574,1784165.375
1421889587.143778,575,1789711.875
1421889630.767327,576,1790907.5
1421889674.519737,577,1779016.25
1421889717.973603,578,1771146.125
1421889761.369982,579,1782569.5
1421889804.871095,580,1781954.0
1421889848.200724,581,1773435.25
1421889891.760704,582,1770042.625
1421889935.2308621,583,1769199.5
1421889979.034592,584,1773586.625
1421890022.81582,585,1783043.5
1421890066.348167,586,1780205.0
1421890109.8488462,587,1779915.375
1421890153.556454,588,1789229.25
1421890197.012774,589,1805120.75
1421890240.7357812,590,1807844.5
1421890284.307064,591,1804998.0
1421890327.984019,592,1780929.625
1421890371.4930649,593,1761469.5
1421890415.256012,594,1762220.0
1421890459.040542,595,1775007.125
1421890502.502414,596,1778180.75
1421890545.923058,597,1765765.75
1421890589.467399,598,1759192.375
1421890633.192471,599,1764159.0
1421890676.6310961,600,1769959.875
1421890720.797647,601,1770101.625
1421890764.492202,602,1761045.5
1421890808.053983,603,1754479.875
1421890851.385808,604,1762359.375
1421890894.8874922,605,1778845.25
1421890938.4348779,606,1810042.375
1421890982.1123252,607,1876722.75
1421891025.790886,608,2071207.875
1421891069.2849112,609,2258000.5
1421891112.804096,610,2468605.0
1421891156.354742,611,2015900.0
1421891199.8932009,612,1822822.875
1421891243.424572,613,2071294.125
1421891287.3614879,614,2231910.25
1421891331.3101282,615,2387270.25
1421891374.790994,616,2490187.75
1421891418.133216,617,3116558.0
1421891461.921982,618,2843702.75
1421891505.447809,619,2389857.25
1421891548.9601438,620,2828522.25
1421891592.518056,621,2522208.0
1421891636.0383291,622,2373188.5
1421891679.81846,623,2685021.25
1421891723.367698,624,2219618.25
1421891766.9459991,625,2830910.0
1421891810.586509,626,3416726.25
1421891854.152245,627,6537469.5
1421891897.798084,628,3695073.0
1421891941.7152152,629,2829261.75
1421891985.254241,630,2792872.0
1421892028.750793,631,3189168.0
1421892072.461378,632,4186458.25
1421892115.9753659,633,3811623.25
1421892159.5180259,634,3372308.5
1421892203.272074,635,2900933.25
1421892247.2008839,636,3542641.0
1421892290.893209,637,3686683.0
1421892334.824507,638,2854826.0
1421892378.7018502,639,2875043.75
1421892422.063742,640,3179247.0
1421892466.1092741,641,3063008.5
1421892509.996321,642,3169436.5
1421892553.911814,643,3326871.0
1421892597.533817,644,3466780.75
1421892641.0710452,645,3212468.25
1421892684.3256488,646,2588503.25
1421892728.180765,647,2489230.0
1421892771.759346,648,2717922.5
1421892815.439359,649,2375553.25
1421892859.1598542,650,2527923.0
1421892902.507052,651,2585651.5
1421892946.086333,652,2635731.75
1421892989.6641579,653,2662352.5
1421893033.1857028,654,2555454.5
1421893076.718387,655,2364293.75
1421893120.417758,656,2309411.0
1421893163.731773,657,2163909.5
1421893207.588612,658,2290049.75
1421893251.5520551,659,2208376.25
1421893295.386088,660,2148269.0
1421893339.011167,661,2069518.0
1421893382.5699031,662,2179069.25
1421893426.482686,663,2092739.0
1421893470.1090822,664,2113028.25
1421893513.740536,665,2048633.75
1421893557.4205089,666,2049379.75
1421893600.930721,667,2015553.125
1421893644.864668,668,2008231.5
1421893688.340713,669,1961825.375
1421893732.115969,670,1988816.875
1421893775.684503,671,1973758.75
1421893819.403285,672,1966679.625
1421893862.843127,673,1963079.0
1421893906.6257641,674,1994148.5
1421893950.4413939,675,2060886.0
1421893994.139025,676,2212367.75
1421894037.541109,677,2315640.0
1421894081.411188,678,2335934.5
1421894125.350456,679,2003093.75
1421894169.127677,680,1965938.25
1421894212.99459,681,2118565.5
1421894257.0238562,682,1959421.5
1421894300.839945,683,1962621.375
1421894344.7644072,684,2004374.125
1421894388.927626,685,1933416.625
1421894432.598009,686,1965476.5
1421894476.9396942,687,1921099.125
1421894520.7134569,688,1927988.375
1421894564.507214,689,1931667.625
1421894608.250924,690,1880631.5
1421894652.0523589,691,1920281.5
1421894695.745923,692,1882745.0
1421894739.1930099,693,1866736.5
1421894783.1697779,694,1891707.125
1421894826.978271,695,1856762.5
1421894870.7499032,696,1864595.375
1421894915.0548842,697,1860184.25
1421894959.35646,698,1839106.5
1421895003.155879,699,1856078.25
1421895047.199789,700,1833169.5
1421895091.4329321,701,1833356.375
1421895135.882507,702,1835190.375
1421895179.712415,703,1820438.375
1421895223.754255,704,1829749.875
1421895267.5737212,705,1817825.75
1421895311.221448,706,1813182.75
1421895355.004213,707,1815553.375
1421895398.806669,708,1805174.625
1421895442.634439,709,1807801.125
1421895486.503714,710,1804629.5
1421895530.335822,711,1801687.5
1421895574.303222,712,1800059.75
1421895617.926372,713,1799074.0
1421895661.8818061,714,1795789.25
1421895706.010945,715,1795755.375
1421895749.963728,716,1798896.125
1421895793.989738,717,1801390.625
1421895837.967393,718,1813984.0
1421895882.0372312,719,1833400.125
1421895925.722903,720,1862878.0
1421895969.536454,721,1884129.5
1421896013.274452,722,1882781.625
1421896057.3688478,723,1827236.5
1421896101.32078,724,1781948.375
1421896145.3413801,725,1797738.0
1421896189.135225,726,1829449.25
1421896232.991827,727,1813805.5
1421896276.954018,728,1790560.625
1421896320.8461592,729,1810649.75
